Award_Work,Care-taker_WhileWorking,SP_Supp,Using_DCC,ComfyLeave_ChildSick,MatPat_Leave,Flex_Whours,Eval_WorkProduced,Prod
Yes,No,No,No,No,No,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,No,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,No,Yes,Yes,Increased Productivity 
Yes,No,No,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
No,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,No,Yes,Yes,Increased Productivity 
No,No,No,No,No,No,No,Yes,Increased Productivity 
No,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
No,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,No,Yes,Yes,Yes,Yes,Yes,Increased Productivity 
No,Yes,No,Yes,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Increased Productivity 
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,No,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,No,No,Yes,Increased Productivity 
No,No,No,No,No,Yes,No,Yes,Decreased Productivity 
No,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,No,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,No,Yes,Yes,No,Decreased Productivity 
No,Yes,Yes,No,No,No,No,Yes,Increased Productivity 
No,Yes,Yes,No,No,No,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,No,Yes,Yes,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,No,No,Yes,Increased Productivity 
Yes,Yes,No,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,No,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,No,Yes,No,Yes,No,Yes,Decreased Productivity 
No,Yes,No,Yes,Yes,Yes,No,Yes,Decreased Productivity 
No,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Decreased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Decreased Productivity 
No,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
No,No,No,No,No,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Decreased Productivity 
Yes,Yes,Yes,No,Yes,Yes,Yes,No,Increased Productivity 
Yes,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Decreased Productivity 
No,Yes,Yes,No,No,Yes,Yes,Yes,Decreased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,Yes,No,Yes,Yes,No,Increased Productivity 
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Decreased Productivity 
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Decreased Productivity 
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Decreased Productivity 
No,Yes,Yes,Yes,Yes,Yes,Yes,No,Decreased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
No,Yes,Yes,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,Yes,No,Yes,Yes,Yes,No,Increased Productivity 
Yes,No,No,No,Yes,Yes,Yes,No,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,No,No,No,Yes,Yes,Yes,Increased Productivity 
No,Yes,No,No,No,No,No,No,Decreased Productivity 
No,No,No,No,No,No,No,Yes,Increased Productivity 
No,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,No,No,No,Yes,Yes,Yes,No,Increased Productivity 
Yes,Yes,Yes,No,Yes,No,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,No,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,No,Yes,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Decreased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Decreased Productivity 
No,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,No,No,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,No,No,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
No,Yes,No,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
No,Yes,No,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,No,No,No,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,No,No,Yes,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Decreased Productivity 
No,Yes,Yes,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,Yes,No,No,Yes,Yes,No,Yes,Increased Productivity 
Yes,No,No,No,No,No,Yes,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Increased Productivity 
No,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,No,Yes,No,Yes,Decreased Productivity 
No,Yes,No,No,No,Yes,No,No,Increased Productivity 
No,Yes,Yes,No,No,No,Yes,Yes,Decreased Productivity 
Yes,Yes,Yes,No,Yes,No,Yes,Yes,Decreased Productivity 
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Decreased Productivity 
Yes,Yes,Yes,No,Yes,No,No,Yes,Decreased Productivity 
No,Yes,Yes,No,No,Yes,Yes,Yes,Increased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Decreased Productivity 
No,Yes,Yes,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,Yes,No,Yes,Yes,Yes,Yes,Decreased Productivity 
Yes,Yes,Yes,No,Yes,Yes,No,Yes,Decreased Productivity 
Yes,Yes,No,No,No,Yes,No,Yes,Increased Productivity 
No,Yes,No,No,Yes,Yes,Yes,No,Increased Productivity 
